Standard Title,Standard Type,Standard Info Latest,Value,Edition Date,Standard Infotyp
Outline of Investigation for Fire Door Frames,(Ed. 5),UL,63,"April 07, 2023",Type: outline
Fixture Wire,(Ed. 3),UL,66,"January 18, 2023",Type: ulstd
Standard for Panelboards,(Ed. 13),UL,67,"May 15, 2018",Type: ulstd
Standard for Electric-Fence Controllers,(Ed. 10),UL,69,"June 30, 2009",Type: ulstd
"Standard for Septic Tanks, Bituminous Coated Metal",(Ed. 7),UL,70,"August 29, 2001",Type: ulstd
Standard for Tests for Fire Resistance of Record Protection Equipment,(Ed. 16),UL,72,"April 07, 2015",Type: ulstd
Tests for Fire Resistance of Record Protection Equipment,(Ed. 1),ULC,72,"April 01, 1992",N/A
Standard for Motor-Operated Appliances,(Ed. 10),UL,73,"March 02, 2011",Type: ulstd
Outline of Investigation for Portable Containers and Tanks for Flammable and/or Combustible Liquids,(Ed. 1),UL,75,"December 18, 2014",Type: outline
Standard for Power-Operated Pumps for Petroleum Dispensing Products,(Ed. 10),UL,79,"April 29, 2016",Type: ulstd
Manual Pumps For Use With Liquid Petroleum Fuels,(Ed. 1),ULC,79.1,"January 04, 2004",N/A
Power-Operated Pumps for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),(Ed. 1),UL,79A,"February 11, 2015",Type: ulstd
"Power-Operated Pumps for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",(Ed. 1),UL,79B,"February 11, 2015",Type: ulstd
Standard for Steel Tanks for Oil-Burner Fuels and Other Combustible Liquids,(Ed. 12),UL,80,"September 21, 2007",Type: ulstd
Standard for Electric Gardening Appliances,(Ed. 9),UL,82,"August 31, 2017",Type: ulstd
Thermoplastic-Insulated Wires and Cables,(Ed. 16),UL,83,"July 28, 2017",Type: ulcsance
Fluoropolymer Insulated Wire,(Ed. 1),UL,83A,"February 01, 2016",Type: ulstd
Switchboard and Switchgear Wires and Cables,(Ed. 1),UL,83B,"October 15, 2020",Type: ulstd
Standard for Power-Operated Dispensing Devices for Petroleum Products,(Ed. 12),UL,87,"March 24, 2016",Type: ulstd
Standard for Power-Operated Dispensing Devices for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),(Ed. 1),UL,87A,"February 13, 2015",Type: ulstd
"Power-Operated Dispensing Devices for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",(Ed. 1),UL,87B,"February 13, 2015",Type: ulstd
Outline of Investigation for Power-Operated Dispensing Devices for Diesel Exhaust Fluid,(Ed. 6),UL,87C,"March 26, 2020",Type: outline
"Standard for Fire Extinguisher, Booster, and Noncollapsible Standpipe Hose and Hose Assemblies",(Ed. 11),UL,92,"March 24, 2020",Type: ulstd
Tests for Flammability of Plastic Materials for Parts in Devices and Appliances,(Ed. 7),UL,94,"February 28, 2023",Type: ulstd
Lightning Protection Components / Composants de protection contre la foudre,(Ed. 6),UL,96,"June 30, 2016",Type: ulstd
Standard for Installation Requirements for Lightning Protection Systems,(Ed. 13),UL,96A,"March 18, 2016",Type: ulstd
Installation Requirements for Lightning Protection Systems,(Ed. 14),UL,96A,"September 29, 2023",Type: ulstd
Enclosed and Dead-Front Switches,(Ed. 14),UL,98,"February 12, 2016",Type: ulcsance
Outline of Investigation for Open Type Switches,(Ed. 2),UL,98A,"July 11, 2014",Type: outline
Outline of Investigation for Enclosed and Dead-front Switches for use in Photovoltaic Systems,(Ed. 3),UL,98B,"February 04, 2015",Type: outline
"Outline of Investigation for Enclosed and Dead-Front Switches, 650 - 1000 Volts",(Ed. 1),UL,98C,"April 03, 2017",Type: outline
Standard for Leakage Current for Utilization Equipment,(Ed. 6),UL,101,"July 31, 2017",Type: ulstd
STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / MÉTHODES D'ESSAI NORMALISÉES DE RÉSISTANCE AU FEU POUR LES BÂTIMENTS ET LES MATÉRIAUX DE CONSTRUCTION,(Ed. 5),ULC,101,"June 01, 2014",Type: canulc
STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS,(Ed. 5),ULC,101,"June 01, 2014",Type: canulc
Method of Test for Surface Burning Characteristics of Building Materials and Assemblies,(Ed. 7),ULC,102,"July 01, 2010",N/A
Method of Test for Surface Burning Characteristics of Building Materials and Assemblies,(Ed. 8),ULC,102,"June 01, 2018",Type: canulc
STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF BUILDING MATERIALS AND ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE COMBUSTION SUPERFICIELLE DES MATÉRIAUX DE CONSTRUCTION ET ASSEMBLAGES,(Ed. 8),ULC,102,"June 01, 2018",Type: canulc
"Method of Test for Surface Burning Characteristics of Flooring, Floor Coverings, and Miscellaneous Materials and Assemblies
Méthode d'essai normalisée caractéristiques de combustion superficielle des revêtements de sol et des divers matériaux et assemblages",(Ed. 7),ULC,102.2,"July 01, 2010",N/A
"STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES",(Ed. 8),ULC,102.2,"June 01, 2018",Type: canulc
"STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE COMBUSTION SUPERFICIELLE DES REVÊTEMENTS DE SOL ET DES DIVERS MATÉRIAUX ET ASSEMBLAGES",(Ed. 8),ULC,102.2,"June 01, 2018",Type: canulc
STANDARD METHOD OF FIRE TEST OF LIGHT DIFFUSERS AND LENSES / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU POUR LES DIFFUSEURS ET VERRES D'APPAREILS D'ÉCLAIRAGE,(Ed. 4),ULC,102.3,"June 01, 2018",Type: ulc
"STANDARD METHOD OF TEST FOR FIRE AND SMOKE CHARACTERISTICS OF ELECTRICAL WIRING, CABLES AND NON-METALLIC RACEWAYS / MÉTHODE D'ESSAI NORMALISÉE CARACTÉRISTIQUES DE RÉSISTANCE AU FEU ET À LA FUMÉE DES FILS ET CÂBLES ÉLECTRIQUES ET DES CANALISATIONS NON MÉTALLIQUES",(Ed. 4),ULC,102.4,"September 01, 2017",Type: ulc
Standard for Factory-Built Chimneys for Residential Type and Building Heating Appliances,(Ed. 11),UL,103,"October 15, 2010",Type: ulstd
"Standard Specification For ""Tin-Clad"" Fire Doors Meeting The Performance Required By CAN/ULC-S104 / SPÉCIFICATION NORMALISÉE POUR PORTES COUPE-FEU À REVÊTEMENT MÉTALLIQUE SATISFAISANT AUX EXIGENCES DE LA NORME CAN/ULC-S104",(Ed. 4),ULC,103,"February 01, 2016",Type: canulc
Masonry Fireplace Adapters for Residential Type and Building Heating Appliance Chimneys,(Ed. 1),UL,103A,"May 26, 2005",Type: outline
Standard for Elevator Door Locking Devices and Contacts,(Ed. 11),UL,104,"February 26, 2016",Type: ulstd
STANDARD METHOD FOR FIRE TESTS OF DOOR ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE RÉSISTANCE AU FEU DES PORTES,(Ed. 4),ULC,104,"August 01, 2015",Type: canulc
STANDARD SPECIFICATION FOR FIRE DOOR FRAMES MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 / NORME SUR LES CADRES DE PORTE COUPE-FEU SATISFAISANT AUX EXIGENCES DE RENDEMENT DE LA NORME CAN/ULC-S104,(Ed. 4),ULC,105,"February 01, 2016",Type: canulc
STANDARD METHOD FOR FIRE TESTS OF WINDOW AND GLASS BLOCK ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES FENÊTRES ET DES BRIQUES DE VERRE,(Ed. 3),ULC,106,"August 01, 2015",Type: canulc
Methods of Fire Tests of Roof Coverings,(Ed. 3),ULC,107,"June 01, 2010",Type: canulc
STANDARD METHODS OF FIRE TESTS OF ROOF COVERINGS / MÉTHODES NORMALISÉES D'ESSAI DE RÉSISTANCE AU FEU DES MATÉRIAUX DE COUVERTURE,(Ed. 4),ULC,107,"March 28, 2019",Type: canulc
"Standard for Tube Fittings for Flammable and Combustible Fluids, Refrigeration Service, and Marine Use",(Ed. 6),UL,109,"June 19, 1997",Type: ulstd
Flame Tests of Flame Resistant Fabrics and Films / Norme relative aux essais de comportement au feu des tissus et pellicules ininflammables,(Ed. 1),ULC,109,"June 03, 2003",N/A
STANDARD METHOD FOR FLAME TESTS OF FLAME-RESISTANT FABRICS AND FILMS / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES TISSUS ET PELLICULES ININFLAMMABLES,(Ed. 3),ULC,109,"September 01, 2014",Type: canulc
STANDARD METHODS OF TEST FOR AIR DUCTS / MÉTHODES NORMALISÉES D'ESSAI DES CONDUITS D'AIR,(Ed. 3),ULC,110,"July 01, 2013",Type: ulc
Standard for Sustainability for Mobile Phones,(Ed. 2),UL Environment,110,"March 24, 2017",Type: ule
Outline of Investigation for Multioutlet Assemblies,(Ed. 8),UL,111,"January 09, 2023",Type: outline
STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS,(Ed. 5),ULC,111,"December 01, 2013",Type: canulc
STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU DES FILTRES,(Ed. 5),ULC,111,"December 01, 2013",Type: canulc
STANDARD METHOD OF FIRE TEST OF FIRE DAMPER ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU DES REGISTRES COUPE-FEU,(Ed. 3),ULC,112,"June 01, 2010",Type: canulc
STANDARD FOR LEAKAGE RATED DAMPERS FOR USE IN SMOKE CONTROL SYSTEMS / NORME SUR LES REGISTRES ÉTANCHES POUR SYSTÈMES DE DÉSENFUMAGE,(Ed. 2),ULC,112.1,"July 01, 2010",Type: canulc
STANDARD METHOD OF FIRE TEST OF CEILING FIRESTOP FLAP ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU DES CLAPETS COUPE-FEU SITUÉS DANS LES PLAFONDS,(Ed. 2),ULC,112.2,"October 01, 2007",Type: canulc
Procedure for the Preparation of a Toxicological Assessment,(Ed. 1),UL Environment,113,"October 25, 2010",Type: ule
"Standard Specification for Wood Core Doors Meeting the Performance Required by CAN4-S104-77 for Twenty Minute Fire Rated Closure Assemblies
",(Ed. 3),ULC,113,"January 14, 2008",N/A
STANDARD SPECIFICATION FOR WOOD CORE DOORS MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 FOR TWENTY MINUTE FIRE RATED CLOSURE ASSEMBLIES / SPÉCIFICATION DE NORME : PORTES À ÂME DE BOIS SATISFAISANT AUX EXIGENCES DE RENDEMENT DE CAN / ULC-S104 POUR LES DISPOSITIFS DE FERMETURE AYANT UN DEGRÉ DE RÉSISTANCE AU FEU DE VINGT MINUTES,(Ed. 4),ULC,113,"February 01, 2016",Type: canulc
STANDARD METHOD OF TEST  FOR DETERMINATION OF  NON-COMBUSTIBILITY IN BUILDING MATERIALS / MÉTHODE D'ESSAI NORMALISÉE POUR LA DÉTERMINATION DE L'INCOMBUSTIBILITÉ DES MATÉRIAUX DE CONSTRUCTION,(Ed. 4),ULC,114,"June 01, 2018",Type: canulc
STANDARD METHOD OF FIRE TESTS OF FIRESTOP SYSTEMS / MÉTHODE NORMALISÉE D'ESSAIS DE RÉSISTANCE AU FEU DES DISPOSITIFS COUPE-FEU,(Ed. 5),ULC,115,"June 26, 2018",Type: ulc
Sustainability for Thermal Insulation,(Ed. 1),UL Environment,115,"February 23, 2011",N/A
Indoor Air Quality,(Ed. 1),UL,118,"June 14, 2011",N/A
Managing Fire and Chemical Exposure Risks of Residential Upholstered Furniture,(Ed. 1),Underwriters Laboratories Inc,118F,"April 19, 2021",N/A
"Outline of Investigation for Adapters, Fittings and Couplings for Anhydrous Ammonia and Fuel Gases",(Ed. 5),UL,119,"January 06, 2021",Type: outline
Standard for Photographic Equipment,(Ed. 5),UL,122,"October 29, 2007",Type: ulstd
Standard for Oxy-Fuel Gas Torches,(Ed. 11),UL,123,"June 15, 2007",Type: ulstd
Outline of Investigation for Hand-Operated Pumps for Flammable and Combustible Liquids and Battery Operated Pumps for Combustible Liquids,(Ed. 6),UL,124,"April 10, 2023",Type: outline
Standard Method of Test for the Evaluation of Protective Coverings for Foamed Plastic / Méthode d’essai normalisée évaluation des revêtements protecteurs des mousses plastiques,(Ed. 1),ULC,124,"August 01, 2006",N/A
STANDARD METHOD OF TEST FOR THE EVALUATION OF THERMAL BARRIERS FOR FOAMED PLASTIC / MÉTHODE D'ESSAI NORMALISÉE POUR L'ÉVALUATION DES BARRIÈRES THERMIQUES DE LA MOUSSE PLASTIQUE,(Ed. 3),ULC,124,"June 01, 2018",Type: ulc
ANSI/CAN/UL/ULC Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de régulation de débit pour l,(Ed. 10),UL,125,"July 27, 2020",N/A
Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de régulation de débit pour l,(Ed. 10),ULC,125,"July 27, 2020",Type: ulc
STANDARD METHOD OF TEST FOR FIRE SPREAD  UNDER ROOF-DECK ASSEMBLIES / MÉTHODE NORMALISÉE D'ESSAI DE PROPAGATION DES FLAMMES SOUS LES PLATELAGES DE TOITS,(Ed. 3),ULC,126,"September 01, 2014",Type: canulc
Standard for Sustainability for Plastic Film Products,(Ed. 1),UL Environment,126,"May 01, 2012",Type: ule
Standard for Factory-Built Fireplaces,(Ed. 9),UL,127,"April 21, 2011",Type: ulstd
STANDARD CORNER WALL METHOD OF TEST FOR FLAMMABILITY  CHARACTERISTICS OF NON-MELTING FOAM PLASTIC BUILDING MATERIALS / MÉTHODE D'ESSAI NORMALISÉE D'ALLUMAGE EN COIN VISANT À DÉTERMINER LES CARACTÉRISTIQUES D'INFLAMMABILITÉ DES MATÉRIAUX DE CONSTRUCTION EN MOUSSE PLASTIQUE À L'ÉPREUVE DE LA FUSION,(Ed. 6),ULC,127,"December 01, 2014",Type: canulc
Composite Fire-Log Starters,(Ed. 1),ULC,127.1,"September 01, 2004",N/A
STANDARD METHOD OF TEST FOR SMOULDER RESISTANCE OF INSULATION (BASKET METHOD) / MÉTHODE NORMALISÉE D'ESSAI DE RÉSISTANCE À LA COMBUSTION LENTE DES ISOLANTS (MÉTHODE DU PANIER),(Ed. 4),ULC,129,"August 01, 2015",N/A
Standard for Electric Heating Pads,(Ed. 13),UL,130,"July 15, 2011",Type: ulstd
STANDARD METHOD OF TEST FOR IGNITION RESISTANCE OF LOOSE FILL INSULATION (CIGARETTE METHOD) / MÉTHODE NORMALISÉE D'ESSAI DE RÉSISTANCE À L'ALLUMAGE DE L'ISOLANT THERMIQUE CELLULOSIQUE À BOURRAGE LÂCHE (MÉTHODE DE LA CIGARETTE),(Ed. 3),ULC,130,"June 01, 2018",Type: ulc
ANSI/CAN/UL Safety Relief Valves for Anhydrous Ammonia and LP-Gas / Soupapes de sécurité pour l'ammoniac anhydre et le GPL,(Ed. 9),UL,132,"September 21, 2021",N/A
STANDARD METHOD OF TESTS FOR EMERGENCY EXIT AND EMERGENCY FIRE EXIT HARDWARE / MÉTHODE D'ESSAI NORMALISÉE DES SERRURES ANTIPANIQUES DES ISSUES DE SECOURS ET DES PORTES COUPE-FEU,(Ed. 3),ULC,132,"November 01, 2016",Type: canulc
STANDARD METHOD OF TESTS FOR DOOR CLOSERS  INTENDED FOR USE WITH SWINGING DOORS / MÉTHODE D'ESSAI NORMALISÉE SUR LES FERME-PORTES CONÇUS POUR ÊTRE UTILISÉS AVEC DES PORTES BATTANTES,(Ed. 3),ULC,133,"February 01, 2016",Type: canulc
STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES / MÉTHODE NORMALISCE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS,(Ed. 2),ULC,134,"October 14, 2013",Type: canulc
STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES / MÉTHODE NORMALISÉE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXTÉRIEURS,(Ed. 2),ULC,134,"August 01, 2013",Type: canulc
Standard Test Method for the Determination of Combustibility Parameters of Building Materials Using an Oxygen Consumption Calorimeter (Cone Calorimeter),(Ed. 2),ULC,135,"July 01, 2004",N/A
Standard for Pressure Cookers,(Ed. 8),UL,136,"June 16, 2009",Type: ulstd
STANDARD METHOD OF FIRE TEST OF SPRINKLER PROTECTED WINDOW SYSTEMS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU DES FENÊTRES PROTÉGÉES PAR GICLEURS,(Ed. 1),ULC,136,"April 21, 2021",Type: canulc
STANDARD METHOD OF TEST FOR FIRE GROWTH OF MATTRESSES (OPEN FLAME TEST) / MÉTHODE D'ESSAI NORMALISÉE POUR LA PROPAGATION DU FEU SUR LES MATELAS (ESSAI À LA FLAMME NUE),(Ed. 2),ULC,137,"August 01, 2017",Type: canulc
STANDARD METHOD OF TEST FOR FIRE GROWTH OF INSULATED BUILDING PANELS IN A FULL-SCALE ROOM CONFIGURATION / MÉTHODE D'ESSAI NORMALISÉE DE LA PROPAGATION DU FEU DANS LES PANNEAUX DE CONSTRUCTION ISOLÉS D'UNE CONFIGURATION DE PIÈCES À L'ÉCHELLE RÉELLE,(Ed. 1),ULC,138,"May 01, 2006",N/A
Standard Method of Test for Fire Growth of Insulated Building Panels in a Full-Scale Room Configuration,(Ed. 1),ULC,138,"May 01, 2006",Type: canulc
Outline of Investigation for Medium- and High-Expansion Foam-Extinguishing System Equipment and Concentrates,(Ed. 7),UL,139,"March 13, 2018",Type: outline
"Standard for Fire Test for Circuit Integrity of Fire-Resistive Power, Instrumentation, Control, and Data Cables / Normes sur d’essai de résistance au feu pour l’évaluation de l’intégrité des circuits des câbles d’alimentation, de l’instrumentation, des contrôles et données",(Ed. 3),ULC,139,"August 29, 2017",Type: binat
Outline of Investigation for Elevator Traveling Cable Support Hardware,(Ed. 2),UL,1392,"April 10, 2023",Type: outline
Standard for Relocking Devices for Safes and Vaults,(Ed. 11),UL,140,"October 27, 2006",Type: ulstd
Standard for Garment Finishing Appliances,(Ed. 9),UL,141,"March 30, 2011",Type: ulstd
Standard for Steel Aboveground Tanks for Flammable and Combustible Liquids,(Ed. 10),UL,142,"May 17, 2019",Type: ulstd
STANDARD METHOD OF FIRE TEST FOR HEAT AND VISIBLE SMOKE RELEASE FOR DISCRETE PRODUCTS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU POUR LA PRODUCTION DE CHALEUR ET DE FUMÉE VISIBLE DES PRODUITS DISCRETS,(Ed. 1),ULC,142,"September 01, 2016",Type: canulc
Secondary Containments for Aboveground Flammable and  Combustible Liquid Storage Tanks,(Ed. 1),ULC,142.20,"June 01, 1995",N/A
Concrete Encased Steel Aboveground Tank Assemblies for Flammable and Combustible Liquids,(Ed. 1),ULC,142.5,"September 01, 1992",N/A
Storage Vaults,(Ed. 1),ULC,142.6,"September 01, 2004",N/A
  Spill Containment Devices for Aboveground Flammable and  Combustible Liquid Storage Tanks,(Ed. 1),ULC,142.19,"September 01, 2004",N/A
Special Purpose Aboveground Tanks for Specific Flammable or Combustible Liquids,(Ed. 1),UL,142A,"May 25, 2018",Type: ulstd
Standard Method of Fire Tests for Non-Metallic Electrical and Optical Fibre Cable Raceway Systems,(Ed. 1),ULC,143,"July 01, 2009",N/A
STANDARD METHOD OF FIRE TESTS FOR NON-METALLIC ELECTRICAL AND OPTICAL FIBRE CABLE RACEWAY SYSTEMS / MÉTHODE D'ESSAI NORMALISÉE DE COMPORTEMENT AU FEU DES SYSTÈMES DE CANALISATION NON MÉTALLIQUES POUR CÂBLES ÉLECTRIQUES ET À FIBRES OPTIQUES,(Ed. 2),ULC,143,"November 01, 2014",Type: canulc
LP-Gas Regulators / Régulateurs GPL,(Ed. 9),UL,144,"January 22, 2021",Type: ulcanada
Standard Method of Fire Resistance Test - Grease Duct Assemblies,(Ed. 1),ULC,144,"April 01, 1975",N/A
STANDARD METHOD OF FIRE RESISTANCE TEST - GREASE DUCT ASSEMBLIES / MÉTHODE D'ESSAI NORMALISÉE DE RÉSISTANCE AU FEU - CONDUITS DE GRAISSE,(Ed. 2),ULC,144,"July 01, 2017",Type: canulc
STANDARD METHOD OF TEST FOR THE EVALUATION OF PROTECTIVE COVERINGS FOR FOAMED PLASTIC INSULATION - FULL-SCALE ROOM TEST / MÉTHODE D'ESSAI NORMALISÉE POUR L'ÉVALUATION DES REVÊTEMENTS PROTECTEURS DES ISOLATIONS À LA MOUSSE PLASTIQUE - ESSAI DANS UNE PIÈCE EN VRAIE GRANDEUR,(Ed. 1),ULC,145,"June 30, 2018",Type: ulc
