Standard Title,Standard Type,Standard Info Latest,Edition Date,Standard Infotyp
Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES � LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES,(Ed. 9),UL,"June 21, 2021",Type: ulstd
Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES � LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES,(Ed. 9),ULC,"June 21, 2021",Type: ululcanada
Standard for Manual Signaling Boxes for Fire Alarm Systems,(Ed. 8),UL,"July 03, 2008",Type: ulstd
Thermoset-Insulated Wires and Cables,(Ed. 19),UL,"January 09, 2018",Type: ulcsance
Standard for Semiautomatic Fire Hose Storage Devices,(Ed. 6),UL,"April 27, 2004",Type: ulstd
Semiautomatic Fire Hose Storage Devices,(Ed. 7),UL,"March 03, 2023",Type: ulstd
Preliminary Standard for Fire Hose Rack Assemblies,(Ed. 1),ULC,"July 01, 1973",N/A
Standard for Electric Signs,(Ed. 15),UL,"September 02, 2011",Type: ulstd
"Enclosures for Electrical Equipment, Non-Environmental Considerations",(Ed. 13),UL,"October 16, 2015",Type: ulcsance
"Enclosures for Electrical Equipment, Environmental Considerations",(Ed. 3),UL,"October 15, 2020",Type: ulcsance
Outline of Investigation for Infrared Viewports,(Ed. 2),UL,"October 11, 2019",Type: outline
Outline of Investigation for Infrared Viewports,(Ed. 3),UL,"September 25, 2023",Type: outline
"Power-Operated Pumps and Bypass Valves for Anhydrous Ammonia, LP-Gas, and Propylene",(Ed. 11),UL,"May 15, 2023",Type: ulstd
Standard for Materials for Built-Up Roof Coverings,(Ed. 13),UL,"November 19, 2004",Type: ulstd
Standard for Materials for Built-Up Roof Coverings,(Ed. 14),UL,"March 10, 2008",N/A
Standard for Steel Underground Tanks for Flammable and Combustible Liquids,(Ed. 10),UL,"January 31, 2018",Type: ulstd
Overfill Protection Devices for Flammable Liquid Storage Tanks,(Ed. 1),ULC,"September 01, 2004",N/A
Flexible Cords and Cables,(Ed. 20),UL,"July 06, 2018",Type: ulcsance
Outline of Investigation for Fire Door Frames,(Ed. 5),UL,"April 07, 2023",Type: outline
Fixture Wire,(Ed. 3),UL,"January 18, 2023",Type: ulstd
Standard for Panelboards,(Ed. 13),UL,"May 15, 2018",Type: ulstd
Standard for Electric-Fence Controllers,(Ed. 10),UL,"June 30, 2009",Type: ulstd
"Standard for Septic Tanks, Bituminous Coated Metal",(Ed. 7),UL,"August 29, 2001",Type: ulstd
Standard for Tests for Fire Resistance of Record Protection Equipment,(Ed. 16),UL,"April 07, 2015",Type: ulstd
Tests for Fire Resistance of Record Protection Equipment,(Ed. 1),ULC,"April 01, 1992",N/A
Standard for Motor-Operated Appliances,(Ed. 10),UL,"March 02, 2011",Type: ulstd
Outline of Investigation for Portable Containers and Tanks for Flammable and/or Combustible Liquids,(Ed. 1),UL,"December 18, 2014",Type: outline
Standard for Power-Operated Pumps for Petroleum Dispensing Products,(Ed. 10),UL,"April 29, 2016",Type: ulstd
Manual Pumps For Use With Liquid Petroleum Fuels,(Ed. 1),ULC,"January 04, 2004",N/A
Power-Operated Pumps for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),(Ed. 1),UL,"February 11, 2015",Type: ulstd
"Power-Operated Pumps for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",(Ed. 1),UL,"February 11, 2015",Type: ulstd
Standard for Steel Tanks for Oil-Burner Fuels and Other Combustible Liquids,(Ed. 12),UL,"September 21, 2007",Type: ulstd
Standard for Electric Gardening Appliances,(Ed. 9),UL,"August 31, 2017",Type: ulstd
Thermoplastic-Insulated Wires and Cables,(Ed. 16),UL,"July 28, 2017",Type: ulcsance
Fluoropolymer Insulated Wire,(Ed. 1),UL,"February 01, 2016",Type: ulstd
Switchboard and Switchgear Wires and Cables,(Ed. 1),UL,"October 15, 2020",Type: ulstd
Standard for Power-Operated Dispensing Devices for Petroleum Products,(Ed. 12),UL,"March 24, 2016",Type: ulstd
Standard for Power-Operated Dispensing Devices for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),(Ed. 1),UL,"February 13, 2015",Type: ulstd
"Power-Operated Dispensing Devices for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20), Kerosene, and Fuel Oil",(Ed. 1),UL,"February 13, 2015",Type: ulstd
Outline of Investigation for Power-Operated Dispensing Devices for Diesel Exhaust Fluid,(Ed. 6),UL,"March 26, 2020",Type: outline
"Standard for Fire Extinguisher, Booster, and Noncollapsible Standpipe Hose and Hose Assemblies",(Ed. 11),UL,"March 24, 2020",Type: ulstd
Tests for Flammability of Plastic Materials for Parts in Devices and Appliances,(Ed. 7),UL,"February 28, 2023",Type: ulstd
Lightning Protection Components / Composants de protection contre la foudre,(Ed. 6),UL,"June 30, 2016",Type: ulstd
Standard for Installation Requirements for Lightning Protection Systems,(Ed. 13),UL,"March 18, 2016",Type: ulstd
Installation Requirements for Lightning Protection Systems,(Ed. 14),UL,"September 29, 2023",Type: ulstd
Enclosed and Dead-Front Switches,(Ed. 14),UL,"February 12, 2016",Type: ulcsance
Outline of Investigation for Open Type Switches,(Ed. 2),UL,"July 11, 2014",Type: outline
Outline of Investigation for Enclosed and Dead-front Switches for use in Photovoltaic Systems,(Ed. 3),UL,"February 04, 2015",Type: outline
"Outline of Investigation for Enclosed and Dead-Front Switches, 650 - 1000 Volts",(Ed. 1),UL,"April 03, 2017",Type: outline
Standard for Leakage Current for Utilization Equipment,(Ed. 6),UL,"July 31, 2017",Type: ulstd
STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / M�THODES D'ESSAI NORMALIS�ES DE R�SISTANCE AU FEU POUR LES B�TIMENTS ET LES MAT�RIAUX DE CONSTRUCTION,(Ed. 5),ULC,"June 01, 2014",Type: canulc
STANDARD METHODS OF FIRE ENDURANCE TESTS OF BUILDING CONSTRUCTION AND MATERIALS / M�THODE NORMALIS�E DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXT�RIEURS,(Ed. 5),ULC,"June 01, 2014",Type: canulc
Method of Test for Surface Burning Characteristics of Building Materials and Assemblies,(Ed. 7),ULC,"July 01, 2010",N/A
Method of Test for Surface Burning Characteristics of Building Materials and Assemblies,(Ed. 8),ULC,"June 01, 2018",Type: canulc
STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF BUILDING MATERIALS AND ASSEMBLIES / M�THODE D'ESSAI NORMALIS�E CARACT�RISTIQUES DE COMBUSTION SUPERFICIELLE DES MAT�RIAUX DE CONSTRUCTION ET ASSEMBLAGES,(Ed. 8),ULC,"June 01, 2018",Type: canulc
"Method of Test for Surface Burning Characteristics of Flooring, Floor Coverings, and Miscellaneous Materials and Assemblies
M�thode d'essai normalis�e caract�ristiques de combustion superficielle des rev�tements de sol et des divers mat�riaux et assemblages",(Ed. 7),ULC,"July 01, 2010",N/A
"STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES",(Ed. 8),ULC,"June 01, 2018",Type: canulc
"STANDARD METHOD OF TEST FOR SURFACE BURNING CHARACTERISTICS OF FLOORING, FLOOR COVERINGS, AND MISCELLANEOUS MATERIALS AND ASSEMBLIES / M�THODE D'ESSAI NORMALIS�E CARACT�RISTIQUES DE COMBUSTION SUPERFICIELLE DES REV�TEMENTS DE SOL ET DES DIVERS MAT�RIAUX ET ASSEMBLAGES",(Ed. 8),ULC,"June 01, 2018",Type: canulc
STANDARD METHOD OF FIRE TEST OF LIGHT DIFFUSERS AND LENSES / M�THODE D'ESSAI NORMALIS�E DE R�SISTANCE AU FEU POUR LES DIFFUSEURS ET VERRES D'APPAREILS D'�CLAIRAGE,(Ed. 4),ULC,"June 01, 2018",Type: ulc
"STANDARD METHOD OF TEST FOR FIRE AND SMOKE CHARACTERISTICS OF ELECTRICAL WIRING, CABLES AND NON-METALLIC RACEWAYS / M�THODE D'ESSAI NORMALIS�E CARACT�RISTIQUES DE R�SISTANCE AU FEU ET � LA FUM�E DES FILS ET C�BLES �LECTRIQUES ET DES CANALISATIONS NON M�TALLIQUES",(Ed. 4),ULC,"September 01, 2017",Type: ulc
Standard for Factory-Built Chimneys for Residential Type and Building Heating Appliances,(Ed. 11),UL,"October 15, 2010",Type: ulstd
"Standard Specification For ""Tin-Clad"" Fire Doors Meeting The Performance Required By CAN/ULC-S104 / SP�CIFICATION NORMALIS�E POUR PORTES COUPE-FEU � REV�TEMENT M�TALLIQUE SATISFAISANT AUX EXIGENCES DE LA NORME CAN/ULC-S104",(Ed. 4),ULC,"February 01, 2016",Type: canulc
Masonry Fireplace Adapters for Residential Type and Building Heating Appliance Chimneys,(Ed. 1),UL,"May 26, 2005",Type: outline
Standard for Elevator Door Locking Devices and Contacts,(Ed. 11),UL,"February 26, 2016",Type: ulstd
STANDARD METHOD FOR FIRE TESTS OF DOOR ASSEMBLIES / M�THODE NORMALIS�E DES ESSAIS DE R�SISTANCE AU FEU DES PORTES,(Ed. 4),ULC,"August 01, 2015",Type: canulc
STANDARD SPECIFICATION FOR FIRE DOOR FRAMES MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 / NORME SUR LES CADRES DE PORTE COUPE-FEU SATISFAISANT AUX EXIGENCES DE RENDEMENT DE LA NORME CAN/ULC-S104,(Ed. 4),ULC,"February 01, 2016",Type: canulc
STANDARD METHOD FOR FIRE TESTS OF WINDOW AND GLASS BLOCK ASSEMBLIES / M�THODE NORMALIS�E DES ESSAIS DE COMPORTEMENT AU FEU DES FEN�TRES ET DES BRIQUES DE VERRE,(Ed. 3),ULC,"August 01, 2015",Type: canulc
Methods of Fire Tests of Roof Coverings,(Ed. 3),ULC,"June 01, 2010",Type: canulc
STANDARD METHODS OF FIRE TESTS OF ROOF COVERINGS / M�THODES NORMALIS�ES D'ESSAI DE R�SISTANCE AU FEU DES MAT�RIAUX DE COUVERTURE,(Ed. 4),ULC,"March 28, 2019",Type: canulc
"Standard for Tube Fittings for Flammable and Combustible Fluids, Refrigeration Service, and Marine Use",(Ed. 6),UL,"June 19, 1997",Type: ulstd
Flame Tests of Flame Resistant Fabrics and Films / Norme relative aux essais de comportement au feu des tissus et pellicules ininflammables,(Ed. 1),ULC,"June 03, 2003",N/A
STANDARD METHOD FOR FLAME TESTS OF FLAME-RESISTANT FABRICS AND FILMS / M�THODE NORMALIS�E DES ESSAIS DE COMPORTEMENT AU FEU DES TISSUS ET PELLICULES ININFLAMMABLES,(Ed. 3),ULC,"September 01, 2014",Type: canulc
STANDARD METHODS OF TEST FOR AIR DUCTS / M�THODES NORMALIS�ES D'ESSAI DES CONDUITS D'AIR,(Ed. 3),ULC,"July 01, 2013",Type: ulc
Standard for Sustainability for Mobile Phones,(Ed. 2),UL Environment,"March 24, 2017",Type: ule
Outline of Investigation for Multioutlet Assemblies,(Ed. 8),UL,"January 09, 2023",Type: outline
STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS,(Ed. 5),ULC,"December 01, 2013",Type: canulc
STANDARD METHOD OF FIRE TESTS FOR AIR FILTER UNITS / M�THODE D'ESSAI NORMALIS�E DE R�SISTANCE AU FEU DES FILTRES,(Ed. 5),ULC,"December 01, 2013",Type: canulc
STANDARD METHOD OF FIRE TEST OF FIRE DAMPER ASSEMBLIES / M�THODE D'ESSAI NORMALIS�E DE R�SISTANCE AU FEU DES REGISTRES COUPE-FEU,(Ed. 3),ULC,"June 01, 2010",Type: canulc
STANDARD FOR LEAKAGE RATED DAMPERS FOR USE IN SMOKE CONTROL SYSTEMS / NORME SUR LES REGISTRES �TANCHES POUR SYST�MES DE D�SENFUMAGE,(Ed. 2),ULC,"July 01, 2010",Type: canulc
STANDARD METHOD OF FIRE TEST OF CEILING FIRESTOP FLAP ASSEMBLIES / M�THODE D'ESSAI NORMALIS�E DE COMPORTEMENT AU FEU DES CLAPETS COUPE-FEU SITU�S DANS LES PLAFONDS,(Ed. 2),ULC,"October 01, 2007",Type: canulc
Procedure for the Preparation of a Toxicological Assessment,(Ed. 1),UL Environment,"October 25, 2010",Type: ule
"Standard Specification for Wood Core Doors Meeting the Performance Required by CAN4-S104-77 for Twenty Minute Fire Rated Closure Assemblies
",(Ed. 3),ULC,"January 14, 2008",N/A
STANDARD SPECIFICATION FOR WOOD CORE DOORS MEETING THE PERFORMANCE REQUIRED BY CAN/ULC-S104 FOR TWENTY MINUTE FIRE RATED CLOSURE ASSEMBLIES / SP�CIFICATION DE NORME : PORTES � �ME DE BOIS SATISFAISANT AUX EXIGENCES DE RENDEMENT DE CAN / ULC-S104 POUR LES DISPOSITIFS DE FERMETURE AYANT UN DEGR� DE R�SISTANCE AU FEU DE VINGT MINUTES,(Ed. 4),ULC,"February 01, 2016",Type: canulc
STANDARD METHOD OF TEST  FOR DETERMINATION OF  NON-COMBUSTIBILITY IN BUILDING MATERIALS / M�THODE D'ESSAI NORMALIS�E POUR LA D�TERMINATION DE L'INCOMBUSTIBILIT� DES MAT�RIAUX DE CONSTRUCTION,(Ed. 4),ULC,"June 01, 2018",Type: canulc
STANDARD METHOD OF FIRE TESTS OF FIRESTOP SYSTEMS / M�THODE NORMALIS�E D'ESSAIS DE R�SISTANCE AU FEU DES DISPOSITIFS COUPE-FEU,(Ed. 5),ULC,"June 26, 2018",Type: ulc
Sustainability for Thermal Insulation,(Ed. 1),UL Environment,"February 23, 2011",N/A
Indoor Air Quality,(Ed. 1),UL,"June 14, 2011",N/A
Managing Fire and Chemical Exposure Risks of Residential Upholstered Furniture,(Ed. 1),Underwriters Laboratories Inc,"April 19, 2021",N/A
"Outline of Investigation for Adapters, Fittings and Couplings for Anhydrous Ammonia and Fuel Gases",(Ed. 5),UL,"January 06, 2021",Type: outline
Standard for Photographic Equipment,(Ed. 5),UL,"October 29, 2007",Type: ulstd
Standard for Oxy-Fuel Gas Torches,(Ed. 11),UL,"June 15, 2007",Type: ulstd
Outline of Investigation for Hand-Operated Pumps for Flammable and Combustible Liquids and Battery Operated Pumps for Combustible Liquids,(Ed. 6),UL,"April 10, 2023",Type: outline
Standard Method of Test for the Evaluation of Protective Coverings for Foamed Plastic / M�thode d�essai normalis�e �valuation des rev�tements protecteurs des mousses plastiques,(Ed. 1),ULC,"August 01, 2006",N/A
STANDARD METHOD OF TEST FOR THE EVALUATION OF THERMAL BARRIERS FOR FOAMED PLASTIC / M�THODE D'ESSAI NORMALIS�E POUR L'�VALUATION DES BARRI�RES THERMIQUES DE LA MOUSSE PLASTIQUE,(Ed. 3),ULC,"June 01, 2018",Type: ulc
ANSI/CAN/UL/ULC Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de r�gulation de d�bit pour l,(Ed. 10),UL,"July 27, 2020",N/A
Flow Control Valves for Anhydrous Ammonia and LP-Gas / Soupapes de r�gulation de d�bit pour l,(Ed. 10),ULC,"July 27, 2020",Type: ulc
STANDARD METHOD OF TEST FOR FIRE SPREAD  UNDER ROOF-DECK ASSEMBLIES / M�THODE NORMALIS�E D'ESSAI DE PROPAGATION DES FLAMMES SOUS LES PLATELAGES DE TOITS,(Ed. 3),ULC,"September 01, 2014",Type: canulc
Standard for Sustainability for Plastic Film Products,(Ed. 1),UL Environment,"May 01, 2012",Type: ule
Standard for Factory-Built Fireplaces,(Ed. 9),UL,"April 21, 2011",Type: ulstd
STANDARD CORNER WALL METHOD OF TEST FOR FLAMMABILITY  CHARACTERISTICS OF NON-MELTING FOAM PLASTIC BUILDING MATERIALS / M�THODE D'ESSAI NORMALIS�E D'ALLUMAGE EN COIN VISANT � D�TERMINER LES CARACT�RISTIQUES D'INFLAMMABILIT� DES MAT�RIAUX DE CONSTRUCTION EN MOUSSE PLASTIQUE � L'�PREUVE DE LA FUSION,(Ed. 6),ULC,"December 01, 2014",Type: canulc
Composite Fire-Log Starters,(Ed. 1),ULC,"September 01, 2004",N/A
STANDARD METHOD OF TEST FOR SMOULDER RESISTANCE OF INSULATION (BASKET METHOD) / M�THODE NORMALIS�E D'ESSAI DE R�SISTANCE � LA COMBUSTION LENTE DES ISOLANTS (M�THODE DU PANIER),(Ed. 4),ULC,"August 01, 2015",N/A
Standard for Electric Heating Pads,(Ed. 13),UL,"July 15, 2011",Type: ulstd
STANDARD METHOD OF TEST FOR IGNITION RESISTANCE OF LOOSE FILL INSULATION (CIGARETTE METHOD) / M�THODE NORMALIS�E D'ESSAI DE R�SISTANCE � L'ALLUMAGE DE L'ISOLANT THERMIQUE CELLULOSIQUE � BOURRAGE L�CHE (M�THODE DE LA CIGARETTE),(Ed. 3),ULC,"June 01, 2018",Type: ulc
ANSI/CAN/UL Safety Relief Valves for Anhydrous Ammonia and LP-Gas / Soupapes de s�curit� pour l'ammoniac anhydre et le GPL,(Ed. 9),UL,"September 21, 2021",N/A
STANDARD METHOD OF TESTS FOR EMERGENCY EXIT AND EMERGENCY FIRE EXIT HARDWARE / M�THODE D'ESSAI NORMALIS�E DES SERRURES ANTIPANIQUES DES ISSUES DE SECOURS ET DES PORTES COUPE-FEU,(Ed. 3),ULC,"November 01, 2016",Type: canulc
STANDARD METHOD OF TESTS FOR DOOR CLOSERS  INTENDED FOR USE WITH SWINGING DOORS / M�THODE D'ESSAI NORMALIS�E SUR LES FERME-PORTES CON�US POUR �TRE UTILIS�S AVEC DES PORTES BATTANTES,(Ed. 3),ULC,"February 01, 2016",Type: canulc
STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES / M�THODE NORMALISCE DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXT�RIEURS,(Ed. 2),ULC,"October 14, 2013",Type: canulc
STANDARD METHOD OF FIRE TEST OF EXTERIOR WALL ASSEMBLIES / M�THODE NORMALIS�E DES ESSAIS DE COMPORTEMENT AU FEU DES MURS EXT�RIEURS,(Ed. 2),ULC,"August 01, 2013",Type: canulc
Standard Test Method for the Determination of Combustibility Parameters of Building Materials Using an Oxygen Consumption Calorimeter (Cone Calorimeter),(Ed. 2),ULC,"July 01, 2004",N/A
Standard for Pressure Cookers,(Ed. 8),UL,"June 16, 2009",Type: ulstd
STANDARD METHOD OF FIRE TEST OF SPRINKLER PROTECTED WINDOW SYSTEMS / M�THODE D'ESSAI NORMALIS�E DE COMPORTEMENT AU FEU DES FEN�TRES PROT�G�ES PAR GICLEURS,(Ed. 1),ULC,"April 21, 2021",Type: canulc
STANDARD METHOD OF TEST FOR FIRE GROWTH OF MATTRESSES (OPEN FLAME TEST) / M�THODE D'ESSAI NORMALIS�E POUR LA PROPAGATION DU FEU SUR LES MATELAS (ESSAI � LA FLAMME NUE),(Ed. 2),ULC,"August 01, 2017",Type: canulc
STANDARD METHOD OF TEST FOR FIRE GROWTH OF INSULATED BUILDING PANELS IN A FULL-SCALE ROOM CONFIGURATION / M�THODE D'ESSAI NORMALIS�E DE LA PROPAGATION DU FEU DANS LES PANNEAUX DE CONSTRUCTION ISOL�S D'UNE CONFIGURATION DE PI�CES � L'�CHELLE R�ELLE,(Ed. 1),ULC,"May 01, 2006",N/A
Standard Method of Test for Fire Growth of Insulated Building Panels in a Full-Scale Room Configuration,(Ed. 1),ULC,"May 01, 2006",Type: canulc
Outline of Investigation for Medium- and High-Expansion Foam-Extinguishing System Equipment and Concentrates,(Ed. 7),UL,"March 13, 2018",Type: outline
"Standard for Fire Test for Circuit Integrity of Fire-Resistive Power, Instrumentation, Control, and Data Cables / Normes sur d�essai de r�sistance au feu pour l��valuation de l�int�grit� des circuits des c�bles d�alimentation, de l�instrumentation, des contr�les et donn�es",(Ed. 3),ULC,"August 29, 2017",Type: binat
Outline of Investigation for Elevator Traveling Cable Support Hardware,(Ed. 2),UL,"April 10, 2023",Type: outline
Standard for Relocking Devices for Safes and Vaults,(Ed. 11),UL,"October 27, 2006",Type: ulstd
Standard for Garment Finishing Appliances,(Ed. 9),UL,"March 30, 2011",Type: ulstd
Standard for Steel Aboveground Tanks for Flammable and Combustible Liquids,(Ed. 10),UL,"May 17, 2019",Type: ulstd
STANDARD METHOD OF FIRE TEST FOR HEAT AND VISIBLE SMOKE RELEASE FOR DISCRETE PRODUCTS / M�THODE D'ESSAI NORMALIS�E DE COMPORTEMENT AU FEU POUR LA PRODUCTION DE CHALEUR ET DE FUM�E VISIBLE DES PRODUITS DISCRETS,(Ed. 1),ULC,"September 01, 2016",Type: canulc
Secondary Containments for Aboveground Flammable and  Combustible Liquid Storage Tanks,(Ed. 1),ULC,"June 01, 1995",N/A
Concrete Encased Steel Aboveground Tank Assemblies for Flammable and Combustible Liquids,(Ed. 1),ULC,"September 01, 1992",N/A
Storage Vaults,(Ed. 1),ULC,"September 01, 2004",N/A
  Spill Containment Devices for Aboveground Flammable and  Combustible Liquid Storage Tanks,(Ed. 1),ULC,"September 01, 2004",N/A
Special Purpose Aboveground Tanks for Specific Flammable or Combustible Liquids,(Ed. 1),UL,"May 25, 2018",Type: ulstd
Standard Method of Fire Tests for Non-Metallic Electrical and Optical Fibre Cable Raceway Systems,(Ed. 1),ULC,"July 01, 2009",N/A
STANDARD METHOD OF FIRE TESTS FOR NON-METALLIC ELECTRICAL AND OPTICAL FIBRE CABLE RACEWAY SYSTEMS / M�THODE D'ESSAI NORMALIS�E DE COMPORTEMENT AU FEU DES SYST�MES DE CANALISATION NON M�TALLIQUES POUR C�BLES �LECTRIQUES ET � FIBRES OPTIQUES,(Ed. 2),ULC,"November 01, 2014",Type: canulc
LP-Gas Regulators / R�gulateurs GPL,(Ed. 9),UL,"January 22, 2021",Type: ulcanada
Standard Method of Fire Resistance Test - Grease Duct Assemblies,(Ed. 1),ULC,"April 01, 1975",N/A
STANDARD METHOD OF FIRE RESISTANCE TEST - GREASE DUCT ASSEMBLIES / M�THODE D'ESSAI NORMALIS�E DE R�SISTANCE AU FEU - CONDUITS DE GRAISSE,(Ed. 2),ULC,"July 01, 2017",Type: canulc
STANDARD METHOD OF TEST FOR THE EVALUATION OF PROTECTIVE COVERINGS FOR FOAMED PLASTIC INSULATION - FULL-SCALE ROOM TEST / M�THODE D'ESSAI NORMALIS�E POUR L'�VALUATION DES REV�TEMENTS PROTECTEURS DES ISOLATIONS � LA MOUSSE PLASTIQUE - ESSAI DANS UNE PI�CE EN VRAIE GRANDEUR,(Ed. 1),ULC,"June 30, 2018",Type: ulc
Standard Method of Test for the Evaluation of Encapsulation Materials and Assemblies of Materials for the Protection of Structural Timber Element / M�thode d'essai normalis�e pour l'�valuation des mat�riaux d'encapsulation et les assemblages de mat�riaux aux fins de la protection des �l�ments de bois de charpente,(Ed. 1),ULC,"May 31, 2019",Type: canulc
Standard for Hand-Held Torches for Fuel Gases,(Ed. 7),UL,"March 05, 2015",Type: ulstd
Standard for Nonrefillable (Disposable) Type Fuel Gas Cylinder Assemblies,(Ed. 4),UL,"June 06, 2018",Type: ulstd
Standard for Nonrefillable (Disposable) Type Metal Container Assemblies for Butane,(Ed. 4),UL,"August 25, 2016",Type: ulstd
Standard for Antenna Rotators,(Ed. 4),UL,"November 09, 2004",Type: ulstd
Standard for Portable Electric Luminaires,(Ed. 13),UL,"March 03, 2014",Type: ulstd
Carbon-Dioxide Fire Extinguishers,(Ed. 9),UL,"February 28, 2005",Type: ululc
Standard for Tests for Fire Resistance of Vault and File Room Doors,(Ed. 8),UL,"April 05, 2000",Type: ulstd
